Ticker,Name,Sector,Price,Dividend Yield,Years of Dividend Increases,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
SJW,SJW Group,Utilities,57.09,0.028025924,56,0.052631579,0.059223841,1.525865831,1830.325553,21.53653562,0.569352922,0.641323822,79.99,54.39
SPGI,S&P Global Inc,Financial Services,422.81,0.008609068,51,0.011111111,0.098078295,3.598415071,140795.73,50.57297068,0.437231479,1.122740992,460.2,324.11
SWK,Stanley Black & Decker Inc,Industrials,88.15,0.03675553,56,0.0125,0.041809268,3.187367201,13557.80806,N/A,N/A,1.440848183,102,70.46
TDS,"Telephone And Data Systems, Inc.",Communication Services,15.43,0.049254699,50,0.027027027,0.028617554,0.732934781,1635.58,N/A,N/A,0.490979819,21.06,6.08
TGT,Target Corp,Consumer Defensive,164.22,0.026793326,55,0.018518519,0.107566343,4.324680812,75818.76563,18.32256298,0.483745057,0.712137248,175.53,101.13
TNC,Tennant Co.,Industrials,114.08,0.009817672,53,0.056603774,0.049414523,1.085462443,2124.18078,19.39891123,0.186185668,0.998911196,117,62.52
TR,"Tootsie Roll Industries, Inc.",Consumer Defensive,31.83,0.011310085,58,0,0,0.35852825,1273.579732,13.85651201,0.271612311,0.389160122,45.5,28.91
SYY,Sysco Corp.,Consumer Defensive,80.92,0.024962926,53,0.020408163,0.05094764,1.96924878,40284.38321,19.34912886,0.48030458,0.505639923,82.89,61.82
UBSI,"United Bankshares, Inc.",Financial Services,33.5,0.044179104,50,0.027777778,0.017055286,1.41370748,4520.914713,12.3416715,0.519745397,1.389003028,37.93,24.29
UVV,Universal Corp.,Consumer Defensive,50.89,0.062880723,53,0.012658228,0.010311459,3.121814412,1250.532184,9.403416752,0.585706269,0.530713607,66.97,43.86
WMT,Walmart Inc,Consumer Defensive,60.68,0.013678312,51,N/A,N/A,0.773499969,488474,10.02729813,0.128488367,0.342835346,61.44,45.82
